-16.96,2.49078463300886e-07
-16.91,2.52450967616923e-07
-16.86,2.55884037055825e-07
-16.81,2.59379054530911e-07
-16.76,2.62937442175426e-07
-16.71,2.66560662729718e-07
-16.66,2.7025022099099e-07
-16.61,2.74007665329202e-07
-16.56,2.77834589272954e-07
-16.51,2.81732633169442e-07
-16.46,2.8570348592289e-07
-16.41,2.89748886816108e-07
-16.36,2.93870627420239e-07
-16.31,2.9807055359803e-07
-16.26,3.02350567606406e-07
-16.21,3.067126303045e-07
-16.16,3.11158763473762e-07
-16.11,3.15691052257222e-07
-16.06,3.20311647725518e-07
-16.01,3.25022769577833e-07
-15.96,3.29826708986505e-07
-15.91,3.34725831594684e-07
-15.86,3.39722580677138e-07
-15.81,3.44819480475018e-07
-15.76,3.50019139716215e-07
-15.71,3.55324255333808e-07
-15.66,3.60737616396004e-07
-15.61,3.66262108262008e-07
-15.56,3.71900716979302e-07
-15.51,3.77656533939e-07
-15.46,3.83532760807174e-07
-15.41,3.89532714751397e-07
-15.36,3.95659833983192e-07
-15.31,4.01917683638632e-07
-15.26,4.08309962021013e-07
-15.21,4.14840507231299e-07
-15.16,4.21513304214017e-07
-15.11,4.28332492248306e-07
-15.06,4.35302372916121e-07
-15.01,4.42427418581937e-07
-14.96,4.49712281420943e-07
-14.91,4.57161803035449e-07
-14.86,4.6478102470224e-07
-14.81,4.72575198296808e-07
-14.76,4.80549797943836e-07
-14.71,4.88710532447015e-07
-14.66,4.97063358555224e-07
-14.61,5.0561449512639e-07
-14.56,5.14370438254885e-07
-14.51,5.23337977433242e-07
-14.46,5.32524212824214e-07
-14.41,5.41936573724832e-07
-14.36,5.51582838310175e-07
-14.31,5.61471154751005e-07
-14.26,5.71610063806373e-07
-14.21,5.82008522999709e-07
-14.16,5.92675932494848e-07
-14.11,6.03622162796951e-07
-14.06,6.14857584412361e-07
-14.01,6.26393099611145e-07
-13.96,6.38240176446498e-07
-13.91,6.5041088519623e-07
-13.86,6.62917937403476e-07
-13.81,6.75774727706384e-07
-13.76,6.8899537866009e-07
-13.71,7.02594788768685e-07
-13.66,7.16588683960276e-07
-13.61,7.3099367275464e-07
-13.56,7.4582730539045e-07
-13.51,7.61108137197661e-07
-13.46,7.76855796520495e-07
-13.41,7.93091057517532e-07
-13.36,8.09835918187894e-07
-13.31,8.27113683996378e-07
-13.26,8.44949057495746e-07
-13.21,8.6336823437139e-07
-13.16,8.82399006362179e-07
-13.11,9.02070871541696e-07
-13.06,9.22415152476348e-07
-13.01,9.43465122810957e-07
-12.96,9.65256142868755e-07
-12.91,9.87825804890987e-07
-12.86,1.0112140885821e-06
-12.81,1.03546352766929e-06
-12.76,1.06061938823097e-06
-12.71,1.08672985959633e-06
-12.66,1.11384625866942e-06
-12.61,1.14202324858445e-06
-12.56,1.1713190726557e-06
-12.51,1.20179580464498e-06
-12.46,1.23351961643255e-06
-12.41,1.26656106424345e-06
-12.36,1.30099539465095e-06
-12.31,1.33690287165202e-06
-12.26,1.37436912618673e-06
-12.21,1.41348552955435e-06
-12.16,1.4543495922638e-06
-12.11,1.49706538994517e-06
-12.06,1.54174401804207e-06
-12.01,1.58850407710259e-06
-11.96,1.63747219058873e-06
-11.91,1.68878355723069e-06
-11.86,1.74258254006483e-06
-11.81,1.79902329440961e-06
-11.76,1.85827043715642e-06
-11.71,1.92049975987779e-06
-11.66,1.98589898838815e-06
-11.61,2.05466859152876e-06
-11.56,2.12702264209117e-06
-11.51,2.20318973294129e-06
-11.46,2.28341395155937e-06
-11.41,2.36795591636988e-06
-11.36,2.45709387839976e-06
-11.31,2.55112489197273e-06
-11.26,2.65036605832301e-06
-11.21,2.75515584619185e-06
-11.16,2.86585549365656e-06
-11.11,2.98285049563265e-06
-11.06,3.10655218168568e-06
-11.01,3.23739938899104e-06
-10.96,3.37586023548529e-06
-10.91,3.52243399846332e-06
-10.86,3.67765310409033e-06
-10.81,3.84208523351598e-06
-10.76,4.01633555150059e-06
-10.71,4.20104906368846e-06
-10.66,4.39691310889175e-06
-10.61,4.6046599929789e-06
-10.56,4.82506977119383e-06
-10.51,5.05897318596568e-06
-10.46,5.30725476750282e-06
-10.41,5.57085610469886e-06
-10.36,5.85077929411133e-06
-10.31,6.14809057500497e-06
-10.26,6.46392415868014e-06
-10.21,6.79948626053229e-06
-10.16,7.15605934350879e-06
-10.11,7.53500658184455e-06
-10.06,7.93777655416649e-06
-10.01,8.36590817525696e-06
-9.96,8.82103587595797e-06
-9.91,9.3048950408786e-06
-9.86,9.81932771373796e-06
-9.81,1.03662885803308e-05
-9.76,1.09478512392453e-05
-9.71,1.15662147705872e-05
-9.66,1.22237106130721e-05
-9.61,1.29228097599348e-05
-9.56,1.36661302841749e-05
-9.51,1.44564452036976e-05
-9.46,1.5296690696935e-05
-9.41,1.61899746795217e-05
-9.36,1.71395857525724e-05
-9.31,1.81490025330408e-05
-9.26,1.92219033765527e-05
-9.21,2.03621765029768e-05
-9.16,2.15739305348421e-05
-9.11,2.28615054585165e-05
-9.06,2.42294840178329e-05
-9.01,2.56827035495818e-05
-8.96,2.72262682699883e-05
-8.91,2.8865562020944e-05
-8.86,3.06062614843887e-05
-8.81,3.245434987281e-05
-8.76,3.44161311033713e-05
-8.71,3.64982444626786e-05
-8.66,3.8707679768661e-05
-8.61,4.10517930354617e-05
-8.56,4.35383226466335e-05
-8.51,4.61754060412835e-05
-8.46,4.89715969171475e-05
-8.41,5.19358829538717e-05
-8.36,5.50777040590583e-05
-8.31,5.84069711388987e-05
-8.26,6.19340853944623e-05
